Apps,Mins/Gm,Height,Weight,Age,Av Rat,Gls,Shot %,Pen/R,xG,Ch C/90,Asts/90,K Ps/90,Pas %,Cr C/A,Drb/90,Distance,Hdr %,K Tck,Fls,Int/90,Clear,PoM,Off,Based,Tck R,CA,Gls/xG,Dist/Mins,Value
12.0,67.41666666666667,173.0,68.0,20,7.14,1.0,0.67,0.0,0.18,0.0,0.22,1.78,0.92,0.3,0.11,102.6,0.73,0.0,13.0,1.45,24.0,1.0,0.0,Croatia (3. HNL Zapad),0.88,84,5.555555555555555,0.126823238566131,6000.0
15.0,77.4,172.0,69.0,25,6.84,0.0,0.38,0.0,0.56,0.08,0.39,1.09,0.9,0.75,0.16,150.3,0.71,0.0,19.0,1.47,46.0,0.0,0.0,Croatia (3. HNL Jug),0.76,79,0.0,0.1294573643410853,1250.0
15.0,90.0,170.0,62.0,22,6.9,0.0,0.1,0.0,3.31,0.14,0.0,0.73,0.89,0.28,0.33,172.8,0.79,7.0,21.0,2.93,78.0,1.0,0.0,Croatia (3. HNL Jug),0.77,87,0.0,0.128,6000.0
20.0,86.9,192.0,86.0,22,7.15,1.0,0.3,0.0,0.42,0.0,0.26,0.31,0.87,0.15,0.05,101.9,0.8,2.0,17.0,1.4,74.0,1.0,1.0,Bosnia & Herzegovina (Liga 12),0.88,95,2.380952380952381,0.0586306098964326,550000.0
15.0,92.26666666666668,190.0,77.0,19,7.23,4.0,0.33,0.0,0.0,0.0,0.13,0.0,0.8,0.0,0.0,22.2,0.63,0.0,14.0,0.39,16.0,0.0,0.0,Croatia (3. HNL Istok),0.93,83,0.0,0.0160404624277456,82000.0
15.0,92.0,180.0,70.0,18,7.32,1.0,0.33,0.0,0.04,0.0,0.2,0.07,0.78,0.0,0.07,18.8,0.5,0.0,20.0,0.2,0.0,0.0,0.0,Croatia (3. HNL Istok),0.75,81,25.0,0.0136231884057971,192500.0
16.0,90.0,188.0,80.0,21,6.96,1.0,0.31,0.0,1.18,0.5,0.19,0.25,0.9,1.0,0.0,145.9,0.74,1.0,15.0,3.12,160.0,1.0,0.0,Croatia (3. HNL Istok),0.77,78,0.8474576271186441,0.1013194444444444,25000.0
15.0,90.0,190.0,78.0,25,6.87,2.0,0.4,0.0,0.64,0.0,0.0,0.13,0.84,1.0,0.07,128.9,0.88,2.0,11.0,2.47,149.0,0.0,1.0,Croatia (3. HNL Zapad),0.8,94,3.125,0.0954814814814814,7000.0
11.0,85.72727272727273,172.0,66.0,22,7.03,1.0,0.5,0.0,0.36,0.11,0.0,0.86,0.94,0.18,0.29,125.1,0.8,0.0,18.0,3.53,64.0,0.0,2.0,Croatia (Druga HNL),0.84,81,2.7777777777777777,0.132661717921527,3000.0
11.0,88.81818181818181,190.0,80.0,30,6.96,0.0,0.2,0.0,0.36,0.2,0.0,0.28,0.91,0.0,0.0,114.2,0.79,4.0,14.0,3.04,121.0,1.0,0.0,Croatia (Druga HNL),0.85,85,0.0,0.1168884339815762,6000.0
16.0,68.625,169.0,65.0,24,7.09,1.0,0.31,0.0,1.09,0.59,0.49,1.31,0.91,0.28,0.33,135.5,0.69,0.0,13.0,1.07,21.0,2.0,0.0,Croatia (3. HNL Zapad),0.86,85,0.9174311926605504,0.1234061930783242,7000.0
